"","pID","issue","direction","stim","didactic","guesscorrect","edu","lad","age","female","button_presses"
"1","TD003","gc","agree",0,0,1,7,2,46,0,14
"3","TD003","gc","disagree",0,0,1,7,2,46,0,21
"5","TD003","hs","agree",0,0,1,7,2,46,0,24
"7","TD003","hs","disagree",0,0,1,7,2,46,0,27
"9","TD003","lm","agree",0,0,1,7,2,46,0,28
"11","TD003","lm","disagree",0,0,1,7,2,46,0,22
"13","TD003","sm","agree",0,0,1,7,2,46,0,31
"15","TD003","sm","disagree",0,0,1,7,2,46,0,26
"17","TD004","aa","agree",0,0,1,4,3,54,0,13
"19","TD004","aa","disagree",0,0,1,4,3,54,0,14
"21","TD004","hs","agree",0,0,1,4,3,54,0,15
"23","TD004","hs","disagree",0,0,1,4,3,54,0,16
"25","TD004","sm","agree",0,0,1,4,3,54,0,15
"27","TD004","sm","disagree",0,0,1,4,3,54,0,14
"29","TD004","uh","agree",0,0,1,4,3,54,0,12
"31","TD004","uh","disagree",0,0,1,4,3,54,0,12
"33","TD005","gc","agree",0,1,1,3,2,31,0,12
"35","TD005","gc","disagree",0,1,1,3,2,31,0,8
"37","TD005","lm","agree",0,1,1,3,2,31,0,10
"39","TD005","lm","disagree",0,1,1,3,2,31,0,6
"41","TD005","pa","agree",0,1,1,3,2,31,0,7
"43","TD005","pa","disagree",0,1,1,3,2,31,0,3
"45","TD005","sm","agree",0,1,1,3,2,31,0,8
"47","TD005","sm","disagree",0,1,1,3,2,31,0,6
"49","TD006","aa","agree",0,1,1,5,1,54,1,15
"51","TD006","aa","disagree",0,1,1,5,1,54,1,16
"53","TD006","pa","agree",0,1,1,5,1,54,1,16
"55","TD006","pa","disagree",0,1,1,5,1,54,1,15
"57","TD006","sm","agree",0,1,1,5,1,54,1,18
"59","TD006","sm","disagree",0,1,1,5,1,54,1,18
"61","TD006","uh","agree",0,1,1,5,1,54,1,13
"63","TD006","uh","disagree",0,1,1,5,1,54,1,15
"65","TD007","gc","agree",0,1,0,1,3,55,0,17
"67","TD007","gc","disagree",0,1,0,1,3,55,0,14
"69","TD007","hs","agree",0,1,0,1,3,55,0,18
"71","TD007","hs","disagree",0,1,0,1,3,55,0,19
"73","TD007","sm","agree",0,1,0,1,3,55,0,24
"75","TD007","sm","disagree",0,1,0,1,3,55,0,24
"77","TD007","uh","agree",0,1,0,1,3,55,0,21
"79","TD007","uh","disagree",0,1,0,1,3,55,0,17
"85","TD008","sm","agree",0,0,1,5,1,30,0,14
"87","TD008","sm","disagree",0,0,1,5,1,30,0,13
"89","TD009","aa","agree",0,0,1,7,2,42,0,12
"91","TD009","aa","disagree",0,0,1,7,2,42,0,14
"93","TD009","gc","agree",0,0,1,7,2,42,0,9
"95","TD009","gc","disagree",0,0,1,7,2,42,0,12
"97","TD009","he","agree",0,0,1,7,2,42,0,10
"99","TD009","he","disagree",0,0,1,7,2,42,0,17
"101","TD009","sm","agree",0,0,1,7,2,42,0,13
"103","TD009","sm","disagree",0,0,1,7,2,42,0,17
"105","TD010","aa","agree",0,1,1,1,4,66,0,9
"107","TD010","aa","disagree",0,1,1,1,4,66,0,8
"109","TD010","gc","agree",0,1,1,1,4,66,0,8
"111","TD010","gc","disagree",0,1,1,1,4,66,0,8
"113","TD010","he","agree",0,1,1,1,4,66,0,12
"115","TD010","he","disagree",0,1,1,1,4,66,0,11
"117","TD010","sm","agree",0,1,1,1,4,66,0,10
"119","TD010","sm","disagree",0,1,1,1,4,66,0,13
"121","TD011","hs","agree",0,1,0,1,3,42,0,23
"123","TD011","hs","disagree",0,1,0,1,3,42,0,17
"125","TD011","lm","agree",0,1,0,1,3,42,0,18
"127","TD011","lm","disagree",0,1,0,1,3,42,0,19
"129","TD011","sm","agree",0,1,0,1,3,42,0,19
"131","TD011","sm","disagree",0,1,0,1,3,42,0,20
"133","TD011","uh","agree",0,1,0,1,3,42,0,19
"135","TD011","uh","disagree",0,1,0,1,3,42,0,16
"137","TD012","aa","agree",0,1,1,7,1,30,1,8
"139","TD012","aa","disagree",0,1,1,7,1,30,1,11
"141","TD012","pa","agree",0,1,1,7,1,30,1,11
"143","TD012","pa","disagree",0,1,1,7,1,30,1,13
"145","TD012","sm","agree",0,1,1,7,1,30,1,12
"147","TD012","sm","disagree",0,1,1,7,1,30,1,12
"149","TD012","uh","agree",0,1,1,7,1,30,1,10
"151","TD012","uh","disagree",0,1,1,7,1,30,1,9
"153","TD013","aa","agree",0,0,1,3,3,19,0,18
"155","TD013","aa","disagree",0,0,1,3,3,19,0,20
"157","TD013","gc","agree",0,0,1,3,3,19,0,18
"159","TD013","gc","disagree",0,0,1,3,3,19,0,14
"161","TD013","he","agree",0,0,1,3,3,19,0,19
"163","TD013","he","disagree",0,0,1,3,3,19,0,13
"165","TD013","sm","agree",0,0,1,3,3,19,0,19
"167","TD013","sm","disagree",0,0,1,3,3,19,0,20
"169","TD014","gc","agree",0,0,1,4,2,21,1,13
"171","TD014","gc","disagree",0,0,1,4,2,21,1,8
"173","TD014","lm","agree",0,0,1,4,2,21,1,10
"175","TD014","lm","disagree",0,0,1,4,2,21,1,7
"177","TD014","pa","agree",0,0,1,4,2,21,1,12
"179","TD014","pa","disagree",0,0,1,4,2,21,1,11
"181","TD014","sm","agree",0,0,1,4,2,21,1,9
"183","TD014","sm","disagree",0,0,1,4,2,21,1,9
"185","TD015","gc","agree",0,0,1,5,1,41,0,7
"187","TD015","gc","disagree",0,0,1,5,1,41,0,6
"189","TD015","hs","agree",0,0,1,5,1,41,0,8
"191","TD015","hs","disagree",0,0,1,5,1,41,0,5
"193","TD015","sm","agree",0,0,1,5,1,41,0,9
"195","TD015","sm","disagree",0,0,1,5,1,41,0,5
"197","TD015","uh","agree",0,0,1,5,1,41,0,5
"199","TD015","uh","disagree",0,0,1,5,1,41,0,5
"201","TD016","aa","agree",0,1,1,4,1,18,0,10
"203","TD016","aa","disagree",0,1,1,4,1,18,0,11
"205","TD016","he","agree",0,1,1,4,1,18,0,10
